Model,Year,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification,Years_Relative
i8,2022,Black,Hybrid,Manual,1.6,189822,113011,9303,High,2
X1,2022,Grey,Hybrid,Manual,1.7,106279,101662,3213,Low,2
3 Series,2024,Silver,Electric,Manual,1.6,150539,90875,4549,Low,0
X5,2024,Red,Diesel,Manual,3.1,50182,108281,7223,High,0
i3,2023,White,Diesel,Automatic,4.2,130875,115822,7700,High,1
5 Series,2022,Grey,Electric,Manual,4.8,74833,42717,5141,Low,2
5 Series,2024,Red,Hybrid,Automatic,4.3,131048,100371,9043,High,0
i3,2022,White,Petrol,Manual,3.1,69772,53964,4754,Low,2
X1,2023,Grey,Petrol,Automatic,4.0,60517,116077,5625,Low,1
3 Series,2023,Blue,Electric,Automatic,1.9,43974,49948,6704,Low,1
X6,2022,Silver,Electric,Automatic,2.9,183136,57575,5406,Low,2
7 Series,2024,Silver,Electric,Automatic,3.0,163915,98699,9224,High,0
X5,2024,Blue,Petrol,Automatic,3.8,49474,85185,5034,Low,0
X5,2023,Red,Hybrid,Automatic,2.6,38695,70805,2185,Low,1
7 Series,2024,Silver,Electric,Automatic,3.3,65596,86645,5345,Low,0
X1,2024,White,Diesel,Manual,4.3,198329,48425,9597,High,0
3 Series,2023,Black,Hybrid,Automatic,2.5,128618,95054,3003,Low,1
5 Series,2024,Red,Petrol,Manual,1.6,172592,85584,6356,Low,0
X6,2023,Black,Diesel,Manual,4.0,15812,38998,3529,Low,1
7 Series,2024,White,Diesel,Automatic,2.0,22070,33038,3320,Low,0
M5,2022,Blue,Petrol,Manual,3.9,153600,81768,9514,High,2
i8,2022,Silver,Diesel,Automatic,1.8,30812,114027,561,Low,2
i3,2022,Red,Diesel,Manual,1.7,178940,97051,4566,Low,2
M5,2023,Red,Electric,Automatic,4.3,104577,60472,9118,High,1
X1,2022,White,Electric,Automatic,1.7,110537,50803,7815,High,2
i8,2024,Grey,Electric,Automatic,4.2,64262,79975,4717,Low,0
i8,2022,Silver,Diesel,Automatic,1.8,128594,104247,1605,Low,2
X3,2023,White,Diesel,Automatic,4.7,3536,35938,3827,Low,1
i3,2022,Black,Electric,Automatic,2.3,3333,47886,952,Low,2
X6,2022,Black,Electric,Manual,4.1,77254,74404,3619,Low,2
X6,2024,Grey,Diesel,Automatic,3.1,45764,82113,3404,Low,0
5 Series,2024,Red,Hybrid,Automatic,1.7,12185,39902,6665,Low,0
M3,2024,White,Petrol,Automatic,2.2,42594,38357,3026,Low,0
X1,2024,White,Electric,Manual,2.4,133979,79555,9860,High,0
M3,2024,Blue,Hybrid,Manual,2.7,90861,43730,6476,Low,0
5 Series,2022,Red,Hybrid,Manual,3.5,34060,86571,7593,High,2
i8,2023,White,Electric,Manual,4.2,151679,106254,8783,High,1
3 Series,2023,Blue,Hybrid,Manual,3.4,2820,93048,5489,Low,1
i3,2022,White,Petrol,Automatic,2.0,43096,87129,406,Low,2
X1,2022,White,Petrol,Automatic,4.9,98850,83929,1345,Low,2
3 Series,2024,White,Electric,Automatic,3.6,154712,37983,5199,Low,0
3 Series,2023,Silver,Diesel,Manual,2.5,154559,115685,5372,Low,1
X6,2024,Silver,Hybrid,Manual,2.6,146183,95937,8548,High,0
X5,2022,Silver,Hybrid,Manual,3.2,177238,56732,8742,High,2
3 Series,2023,Blue,Electric,Manual,2.5,9210,107960,298,Low,1
7 Series,2023,Blue,Diesel,Automatic,3.7,169369,82089,5790,Low,1
3 Series,2022,Black,Petrol,Automatic,2.7,180070,33557,2378,Low,2
M3,2022,White,Electric,Manual,3.1,179609,99033,1999,Low,2
X3,2022,Silver,Electric,Manual,3.7,37969,36638,9832,High,2
5 Series,2024,Blue,Diesel,Automatic,4.5,93099,118494,2039,Low,0
5 Series,2022,Grey,Electric,Automatic,1.5,71808,32077,5899,Low,2
i3,2024,Grey,Petrol,Manual,2.1,74801,34562,8043,High,0
i8,2022,White,Diesel,Manual,2.2,138195,110311,2027,Low,2
X6,2023,Grey,Electric,Manual,3.8,100766,106980,290,Low,1
X5,2022,White,Electric,Automatic,4.9,132350,60440,7477,High,2
X3,2023,Red,Petrol,Automatic,2.8,185046,78954,1685,Low,1
M5,2022,Grey,Petrol,Manual,3.7,54112,34846,9583,High,2
7 Series,2023,Blue,Electric,Manual,3.6,152521,51460,9592,High,1
3 Series,2022,Blue,Hybrid,Manual,2.4,37787,113014,5059,Low,2
M5,2024,White,Petrol,Automatic,2.1,160484,94524,6789,Low,0
3 Series,2024,Silver,Petrol,Automatic,1.8,113831,105613,4078,Low,0
7 Series,2022,Grey,Diesel,Manual,1.9,193834,48259,3930,Low,2
X6,2024,Black,Diesel,Automatic,3.6,133509,63518,8875,High,0
M3,2024,White,Petrol,Automatic,3.2,19871,108174,325,Low,0
i3,2022,Red,Diesel,Manual,2.0,52742,59449,6966,Low,2
7 Series,2024,Black,Hybrid,Automatic,2.0,165169,87949,8246,High,0
3 Series,2023,Red,Petrol,Automatic,4.5,99716,77359,558,Low,1
i8,2023,Blue,Diesel,Automatic,2.7,164104,61359,6424,Low,1
7 Series,2023,Red,Petrol,Automatic,3.1,26977,54820,3563,Low,1
i8,2024,Black,Electric,Automatic,3.3,129253,96520,4733,Low,0
M5,2023,White,Diesel,Manual,1.6,124921,118821,9773,High,1
i3,2024,Blue,Diesel,Manual,3.4,119641,82212,2405,Low,0
M3,2022,Red,Hybrid,Manual,2.3,184123,38292,3417,Low,2
3 Series,2024,Black,Diesel,Manual,4.2,158897,99540,852,Low,0
X1,2024,Blue,Diesel,Automatic,2.4,108093,71985,8783,High,0
3 Series,2024,Grey,Electric,Manual,4.7,18669,109754,9404,High,0
X3,2024,Black,Hybrid,Automatic,4.8,163459,41018,3921,Low,0
X5,2024,Red,Hybrid,Automatic,1.8,119577,71194,2037,Low,0
i8,2023,Silver,Hybrid,Automatic,3.0,5045,78911,1248,Low,1
X1,2024,Black,Petrol,Automatic,1.9,52288,87940,3431,Low,0
i3,2023,Silver,Electric,Automatic,4.6,4969,47238,213,Low,1
X5,2022,White,Petrol,Automatic,1.6,77753,89410,9150,High,2
M3,2023,Grey,Hybrid,Manual,4.4,109212,86023,7658,High,1
7 Series,2022,Red,Hybrid,Manual,3.9,150407,114481,3684,Low,2
i8,2023,Black,Diesel,Automatic,1.8,159214,31692,5088,Low,1
3 Series,2024,Black,Petrol,Automatic,4.3,191913,81487,8178,High,0
i8,2022,White,Electric,Manual,1.7,52921,76959,4546,Low,2
7 Series,2024,Silver,Diesel,Manual,4.6,157631,112216,3842,Low,0
M3,2023,Black,Diesel,Manual,3.6,132159,73157,9790,High,1
5 Series,2024,Grey,Petrol,Manual,2.5,43593,78912,4886,Low,0
X1,2024,Blue,Electric,Automatic,3.1,66463,57556,8393,High,0
7 Series,2023,Blue,Hybrid,Manual,4.1,4469,34949,8356,High,1
X5,2022,White,Petrol,Manual,4.9,132229,99452,2111,Low,2
7 Series,2024,Grey,Electric,Automatic,1.5,49345,49000,5432,Low,0
7 Series,2022,Red,Petrol,Automatic,4.4,143853,119814,4047,Low,2
M3,2024,Blue,Diesel,Automatic,4.5,100325,111037,6384,Low,0
M3,2023,Red,Diesel,Automatic,1.6,151469,115668,8452,High,1
M5,2024,Black,Diesel,Manual,4.7,126651,59206,184,Low,0
3 Series,2024,Red,Hybrid,Manual,3.1,40657,36161,9831,High,0
X3,2022,Blue,Electric,Automatic,3.8,59182,112626,6452,Low,2
3 Series,2022,Grey,Electric,Manual,2.9,11304,59976,1505,Low,2
X5,2024,White,Petrol,Automatic,3.5,74991,92372,4119,Low,0
7 Series,2022,White,Diesel,Manual,2.7,126601,118728,9854,High,2
X1,2022,Silver,Electric,Manual,4.7,120277,93430,4031,Low,2
7 Series,2023,Black,Hybrid,Manual,4.7,40528,105541,1474,Low,1
M5,2022,Black,Diesel,Automatic,2.3,73427,70232,9874,High,2
5 Series,2023,Blue,Diesel,Manual,2.7,88375,32088,5270,Low,1
X6,2024,Silver,Hybrid,Automatic,2.0,95594,111824,1085,Low,0
7 Series,2022,White,Diesel,Automatic,3.1,95859,102845,6059,Low,2
X6,2022,Grey,Diesel,Manual,2.6,163312,96113,3686,Low,2
7 Series,2024,Black,Diesel,Manual,4.2,3580,110194,4719,Low,0
X6,2024,White,Diesel,Manual,1.8,170981,50659,4891,Low,0
7 Series,2024,White,Petrol,Manual,3.4,169859,40674,568,Low,0
X1,2022,Blue,Electric,Automatic,1.8,2466,67529,5674,Low,2
X3,2022,Black,Electric,Manual,3.0,139472,116084,283,Low,2
M3,2024,Black,Hybrid,Manual,2.5,168803,33290,3158,Low,0
i3,2023,Black,Petrol,Automatic,2.8,85431,119769,4852,Low,1
X5,2022,Blue,Electric,Manual,2.5,143290,45107,1535,Low,2
i8,2024,Red,Hybrid,Manual,2.1,14513,67292,6584,Low,0
5 Series,2022,Black,Hybrid,Automatic,2.8,182739,64722,9922,High,2
3 Series,2023,Red,Diesel,Automatic,2.3,193075,82392,3076,Low,1
X3,2023,Grey,Hybrid,Automatic,3.0,67194,82504,1547,Low,1
X6,2023,Black,Hybrid,Automatic,4.9,167133,112252,8538,High,1
X5,2022,Blue,Diesel,Manual,2.7,44021,88445,4202,Low,2
X3,2022,Silver,Hybrid,Manual,4.8,32569,87172,118,Low,2
X3,2024,Black,Electric,Manual,3.1,182032,35365,5851,Low,0
X1,2023,White,Diesel,Automatic,2.6,145194,38414,9530,High,1
X1,2023,White,Electric,Manual,4.1,43128,75078,1016,Low,1
7 Series,2023,Red,Hybrid,Manual,2.1,163845,96349,5183,Low,1
7 Series,2022,White,Hybrid,Manual,1.8,16474,35937,7848,High,2
7 Series,2024,Blue,Petrol,Automatic,1.8,17179,30374,9011,High,0
X6,2023,Red,Hybrid,Manual,3.1,121085,49988,5529,Low,1
X6,2024,White,Electric,Automatic,4.2,137738,56397,6037,Low,0
X6,2022,Blue,Hybrid,Manual,1.5,30387,100283,7077,High,2
M3,2023,Blue,Diesel,Manual,2.0,28011,112840,2608,Low,1
7 Series,2022,Red,Electric,Automatic,3.6,37475,79035,7072,High,2
7 Series,2024,White,Diesel,Automatic,4.0,3552,100577,2334,Low,0
X6,2022,Grey,Electric,Automatic,1.5,113139,60801,5496,Low,2
3 Series,2023,Silver,Diesel,Automatic,2.6,164337,118629,2476,Low,1
3 Series,2022,Silver,Diesel,Manual,2.3,46584,35213,9170,High,2
X3,2022,Black,Diesel,Manual,3.7,60446,103656,2638,Low,2
X3,2023,Red,Hybrid,Manual,2.4,84811,59751,869,Low,1
M5,2024,Grey,Electric,Manual,3.1,151224,109241,6528,Low,0
M3,2022,Red,Hybrid,Manual,1.9,132224,70122,9700,High,2
X1,2024,Blue,Diesel,Automatic,1.8,60768,94923,316,Low,0
7 Series,2024,Silver,Petrol,Automatic,1.7,29976,76301,9960,High,0
X1,2022,Grey,Diesel,Automatic,2.1,30622,91794,5273,Low,2
X3,2022,Black,Electric,Manual,4.5,98884,48798,8414,High,2
7 Series,2022,Red,Diesel,Automatic,3.6,109452,107050,4534,Low,2
i3,2022,Red,Petrol,Manual,4.2,95084,90492,2578,Low,2
3 Series,2024,White,Hybrid,Manual,2.1,161793,48894,727,Low,0
7 Series,2023,Blue,Hybrid,Automatic,4.7,40169,70910,2312,Low,1
i8,2023,Silver,Diesel,Manual,2.2,47837,92510,3324,Low,1
i3,2022,Silver,Electric,Manual,4.2,52609,43625,654,Low,2
X1,2024,Grey,Electric,Automatic,1.5,7576,92602,1925,Low,0
7 Series,2022,Grey,Hybrid,Manual,4.2,135724,83224,9081,High,2
i8,2022,Silver,Electric,Automatic,3.9,22532,114210,6362,Low,2
7 Series,2023,Silver,Diesel,Automatic,4.8,57892,80139,261,Low,1
5 Series,2022,Grey,Diesel,Automatic,1.7,160149,89645,834,Low,2
M5,2022,Blue,Hybrid,Manual,2.6,174127,40121,5352,Low,2
3 Series,2024,Black,Hybrid,Manual,2.2,154173,95226,3056,Low,0
X5,2024,Silver,Petrol,Automatic,3.4,96137,103080,107,Low,0
X1,2022,White,Electric,Manual,3.6,1083,72641,8264,High,2
5 Series,2024,Black,Petrol,Manual,2.4,117405,62280,1863,Low,0
5 Series,2022,Black,Diesel,Manual,1.8,77956,95543,8377,High,2
X1,2024,Silver,Diesel,Automatic,2.5,15690,80498,3999,Low,0
i3,2024,White,Petrol,Manual,2.7,74602,103490,4917,Low,0
i8,2022,Grey,Hybrid,Automatic,2.4,161757,76692,392,Low,2
X6,2022,Red,Diesel,Automatic,4.4,130510,65333,1827,Low,2
i3,2022,Red,Petrol,Automatic,1.5,112316,76485,8039,High,2
X3,2022,Grey,Hybrid,Manual,3.1,51393,105057,9981,High,2
3 Series,2022,Silver,Diesel,Manual,2.4,115390,32631,5653,Low,2
3 Series,2024,Blue,Hybrid,Automatic,4.1,33240,115590,7397,High,0
X3,2024,Silver,Diesel,Automatic,3.3,41678,99649,9034,High,0
3 Series,2022,Red,Petrol,Automatic,4.7,8399,87733,9320,High,2
M5,2023,Red,Hybrid,Manual,1.7,173602,64070,5351,Low,1
X5,2022,White,Petrol,Manual,2.0,160680,79292,1148,Low,2
i3,2022,Blue,Electric,Automatic,5.0,199618,46291,6444,Low,2
X3,2023,White,Hybrid,Manual,3.0,26692,37773,9742,High,1
7 Series,2024,Silver,Electric,Manual,4.9,57718,91735,8480,High,0
3 Series,2022,Grey,Electric,Manual,3.0,57451,54055,4448,Low,2
M5,2023,Silver,Diesel,Manual,4.0,134770,68555,1437,Low,1
i3,2024,Black,Diesel,Automatic,2.4,194870,50881,9965,High,0
M5,2024,Black,Petrol,Automatic,2.0,83664,98081,6715,Low,0
X1,2023,Silver,Hybrid,Automatic,2.2,67817,51264,708,Low,1
M3,2022,Blue,Hybrid,Manual,3.3,182676,44927,7447,High,2
X6,2024,Black,Petrol,Automatic,2.8,49497,62089,1362,Low,0
7 Series,2023,Blue,Diesel,Automatic,2.7,182789,97744,9470,High,1
X3,2024,White,Electric,Manual,3.1,132017,34388,4647,Low,0
3 Series,2022,White,Electric,Manual,1.8,55258,46301,9969,High,2
X3,2022,White,Diesel,Automatic,4.1,46255,39881,3277,Low,2
7 Series,2022,Red,Electric,Automatic,2.7,141497,76988,4798,Low,2
3 Series,2023,Black,Electric,Manual,3.3,95621,53949,7954,High,1
X6,2023,Blue,Petrol,Automatic,1.7,20900,83011,6917,Low,1
i8,2022,Grey,Diesel,Automatic,2.3,99453,77226,9250,High,2
3 Series,2024,Grey,Petrol,Automatic,4.1,162299,92690,209,Low,0
3 Series,2022,White,Electric,Manual,3.0,53093,76022,8643,High,2
X3,2023,Silver,Petrol,Manual,3.0,117121,54891,5267,Low,1
X3,2024,White,Hybrid,Manual,2.5,45516,36472,8306,High,0
7 Series,2022,Grey,Diesel,Manual,4.8,198647,32489,1376,Low,2
X1,2023,Blue,Hybrid,Manual,2.0,156224,111387,5111,Low,1
X6,2023,Grey,Hybrid,Manual,4.0,5249,98058,6347,Low,1
7 Series,2023,Black,Hybrid,Manual,2.8,147302,101025,3111,Low,1
X3,2024,Grey,Hybrid,Automatic,4.6,69043,116342,5561,Low,0
5 Series,2024,Grey,Diesel,Manual,4.3,157492,40662,8777,High,0
i3,2023,White,Petrol,Automatic,3.3,86319,34453,834,Low,1
i3,2022,Silver,Hybrid,Automatic,4.4,13787,115369,9045,High,2
3 Series,2023,White,Electric,Automatic,2.9,124482,116101,2937,Low,1
7 Series,2023,White,Electric,Manual,4.9,3127,87225,5377,Low,1
X3,2022,White,Diesel,Automatic,2.9,82386,54163,4273,Low,2
3 Series,2022,Blue,Hybrid,Manual,2.6,13993,33452,4608,Low,2
3 Series,2022,Grey,Electric,Automatic,2.8,164648,57797,7043,High,2
X5,2024,Silver,Electric,Automatic,1.8,175460,90456,7854,High,0
7 Series,2024,Black,Petrol,Automatic,3.6,147934,99761,8501,High,0
X3,2023,Red,Diesel,Manual,4.3,155402,75435,5550,Low,1
X5,2023,Grey,Hybrid,Automatic,4.5,79530,48457,3400,Low,1
M5,2024,Blue,Petrol,Automatic,2.1,62353,107152,6114,Low,0
3 Series,2024,Grey,Electric,Manual,1.8,60501,78677,7843,High,0
5 Series,2023,Grey,Electric,Automatic,4.4,47816,44579,1234,Low,1
X3,2022,Blue,Diesel,Manual,4.8,31479,85145,3083,Low,2
5 Series,2024,Black,Petrol,Manual,2.6,105072,76383,6245,Low,0
X1,2022,Red,Hybrid,Manual,2.3,165587,44778,9385,High,2
3 Series,2024,Black,Diesel,Manual,3.2,179702,50402,3300,Low,0
X5,2024,White,Petrol,Automatic,5.0,123367,80143,6031,Low,0
3 Series,2022,Grey,Diesel,Automatic,4.9,48856,101289,841,Low,2
M3,2023,Silver,Hybrid,Automatic,5.0,74415,46554,902,Low,1
X3,2022,White,Diesel,Automatic,4.0,74304,91406,8623,High,2
i8,2024,Blue,Electric,Manual,4.3,198886,33828,8724,High,0
X3,2023,Red,Diesel,Manual,1.5,84800,81457,3408,Low,1
X5,2024,Blue,Electric,Automatic,4.3,163744,68164,3704,Low,0
5 Series,2023,Blue,Petrol,Automatic,3.8,120827,107460,2159,Low,1
X1,2024,White,Petrol,Manual,3.4,51715,52547,8830,High,0
i8,2022,Silver,Diesel,Automatic,1.6,132420,98019,6747,Low,2
5 Series,2022,Red,Hybrid,Manual,4.2,137431,48176,231,Low,2
X1,2024,Grey,Diesel,Manual,4.7,157019,95372,8429,High,0
M5,2022,Grey,Electric,Automatic,3.6,151477,106719,6324,Low,2
M5,2022,Blue,Petrol,Automatic,4.0,172755,61803,2823,Low,2
X1,2022,Red,Petrol,Manual,4.5,105834,77001,1057,Low,2
3 Series,2022,Black,Electric,Manual,1.7,69363,101336,5550,Low,2
i8,2023,Silver,Electric,Manual,1.8,163791,99687,1641,Low,1
X1,2022,Red,Petrol,Automatic,2.8,196337,53085,9339,High,2
X6,2023,Blue,Petrol,Automatic,3.7,149308,103575,3484,Low,1
i8,2022,Blue,Electric,Manual,1.9,161226,38525,8074,High,2
M3,2022,Blue,Hybrid,Manual,3.8,170642,92967,6907,Low,2
3 Series,2023,Red,Petrol,Manual,1.8,46190,87040,7121,High,1
X3,2024,Blue,Diesel,Manual,3.8,191502,49126,8320,High,0
X6,2023,Red,Electric,Manual,3.4,10454,85223,3177,Low,1
M3,2022,Red,Diesel,Automatic,4.7,159117,62388,7557,High,2
X3,2022,Black,Hybrid,Manual,2.8,133026,75344,4443,Low,2
3 Series,2022,Grey,Petrol,Automatic,4.9,6839,75350,6493,Low,2
X6,2023,Black,Hybrid,Manual,4.3,55840,100545,7462,High,1
M5,2023,Red,Electric,Automatic,2.7,48202,98139,1661,Low,1
M5,2024,Grey,Hybrid,Manual,4.3,75183,56209,9975,High,0
3 Series,2024,Blue,Hybrid,Automatic,3.2,10528,61308,5110,Low,0
i8,2022,Silver,Hybrid,Automatic,2.5,132013,93107,7191,High,2
3 Series,2024,Silver,Hybrid,Automatic,3.5,63973,78035,2480,Low,0
7 Series,2024,Blue,Hybrid,Manual,1.8,15270,88062,4147,Low,0
M3,2024,Grey,Hybrid,Automatic,4.2,173867,70335,9930,High,0
X5,2022,Grey,Diesel,Manual,3.1,11747,30367,938,Low,2
i3,2022,Black,Electric,Manual,4.2,53668,39759,7360,High,2
3 Series,2024,Grey,Electric,Automatic,5.0,182591,112347,8831,High,0
3 Series,2024,Red,Electric,Automatic,4.9,161339,85211,3466,Low,0
3 Series,2023,Grey,Petrol,Automatic,3.5,117380,31861,3469,Low,1
i8,2024,Blue,Electric,Automatic,2.4,61931,94263,7953,High,0
3 Series,2023,Blue,Hybrid,Manual,1.7,58883,38684,3888,Low,1
X6,2022,Silver,Petrol,Automatic,3.7,178764,53155,8830,High,2
3 Series,2022,Black,Electric,Automatic,4.7,18354,88005,6478,Low,2
X5,2022,Red,Electric,Manual,1.7,82376,102765,2950,Low,2
X5,2023,White,Hybrid,Automatic,3.4,21741,114114,4230,Low,1
X1,2023,Red,Hybrid,Manual,4.8,36943,47900,990,Low,1
3 Series,2022,Blue,Petrol,Manual,4.3,64127,76666,2288,Low,2
i8,2022,Grey,Hybrid,Manual,3.2,121182,80843,7752,High,2
M5,2023,White,Hybrid,Automatic,2.1,164536,82830,4845,Low,1
i3,2024,Blue,Hybrid,Automatic,3.7,131903,40130,4279,Low,0
i3,2023,Blue,Electric,Manual,3.8,174629,71918,2953,Low,1
i8,2022,Red,Diesel,Automatic,3.1,58821,94149,1390,Low,2
X1,2023,Blue,Petrol,Automatic,1.6,25819,73554,2066,Low,1
M5,2023,Red,Hybrid,Manual,3.4,11365,58861,4716,Low,1
X5,2022,Silver,Electric,Automatic,1.6,15130,93843,9914,High,2
M5,2024,Black,Petrol,Manual,3.5,198223,35171,8640,High,0
X3,2022,Black,Diesel,Manual,3.4,108486,37914,7514,High,2
7 Series,2023,Blue,Electric,Automatic,2.3,88002,69446,7985,High,1
X1,2023,Grey,Diesel,Manual,3.6,147631,61245,1477,Low,1
X5,2022,Blue,Diesel,Manual,4.8,100254,30001,5035,Low,2
M5,2024,Red,Petrol,Manual,4.1,34835,76431,1375,Low,0
M5,2024,Blue,Electric,Automatic,4.2,129587,107536,9883,High,0
X3,2024,Silver,Hybrid,Manual,4.6,70284,35692,2562,Low,0
5 Series,2024,Red,Diesel,Automatic,2.7,155207,32608,2911,Low,0
M5,2022,Black,Hybrid,Manual,1.5,159828,62176,5544,Low,2
7 Series,2022,Red,Diesel,Manual,2.7,40474,39442,8524,High,2
X1,2022,Grey,Electric,Automatic,3.0,129271,56998,4854,Low,2
i8,2023,Black,Hybrid,Automatic,4.2,166916,100359,2528,Low,1
M5,2024,Black,Hybrid,Automatic,2.0,87382,88258,9725,High,0
X1,2024,Blue,Hybrid,Automatic,3.3,172498,96816,6007,Low,0
5 Series,2022,Red,Hybrid,Automatic,2.4,48941,98575,4286,Low,2
M5,2024,Silver,Electric,Manual,1.5,193226,60406,4575,Low,0
M3,2024,Grey,Diesel,Automatic,3.5,191171,58378,3658,Low,0
X5,2024,Black,Diesel,Manual,3.6,174791,83056,6533,Low,0
5 Series,2023,White,Electric,Manual,4.0,141628,62045,1285,Low,1
M3,2024,Red,Hybrid,Manual,1.5,90766,51110,2663,Low,0
M3,2023,Blue,Petrol,Manual,1.8,89688,75993,6982,Low,1
5 Series,2024,Red,Hybrid,Manual,4.5,13740,49354,1925,Low,0
M5,2022,White,Hybrid,Manual,4.4,197642,84279,3207,Low,2
X1,2023,Silver,Hybrid,Manual,4.0,132440,94400,3188,Low,1
X3,2022,Blue,Electric,Automatic,3.7,2687,70609,7283,High,2
M5,2022,Grey,Diesel,Automatic,3.2,67618,76788,7862,High,2
X6,2024,Grey,Diesel,Manual,2.3,24909,34743,3390,Low,0
X5,2023,Blue,Diesel,Manual,2.4,168405,117437,2860,Low,1
3 Series,2022,Blue,Hybrid,Automatic,4.0,77852,100430,8841,High,2
M3,2024,White,Electric,Manual,2.7,110725,79201,3565,Low,0
i3,2022,White,Hybrid,Manual,4.3,167467,73896,3193,Low,2
X1,2024,Red,Electric,Automatic,2.4,56977,33897,5528,Low,0
7 Series,2024,Grey,Hybrid,Automatic,2.1,179483,95232,9029,High,0
X3,2024,Silver,Electric,Manual,4.0,50125,61130,237,Low,0
3 Series,2023,Silver,Diesel,Automatic,2.5,56914,88351,8962,High,1
X5,2023,Grey,Diesel,Manual,1.9,38584,64349,7871,High,1
X6,2022,Red,Diesel,Automatic,4.0,133886,35584,8413,High,2
X6,2022,White,Hybrid,Automatic,3.0,83664,72715,6622,Low,2
3 Series,2024,Grey,Hybrid,Manual,2.3,18037,114431,2630,Low,0
X6,2024,White,Diesel,Manual,4.1,179461,62193,3891,Low,0
X3,2022,Grey,Hybrid,Manual,1.6,146590,93113,9089,High,2
M3,2023,White,Hybrid,Automatic,4.3,178563,55753,2700,Low,1
5 Series,2023,Silver,Hybrid,Manual,2.6,92018,77192,2166,Low,1
M5,2024,White,Petrol,Manual,4.4,6340,69946,4109,Low,0
X1,2023,Blue,Petrol,Automatic,2.5,49178,61637,9404,High,1
X6,2023,Blue,Electric,Manual,2.3,110793,101536,7068,High,1
7 Series,2024,Red,Petrol,Manual,1.6,115889,67344,2081,Low,0
X5,2023,White,Diesel,Automatic,4.1,36862,65809,5891,Low,1
3 Series,2023,Black,Petrol,Manual,3.3,44149,94355,4427,Low,1
5 Series,2023,White,Petrol,Automatic,3.9,171004,116746,5335,Low,1
7 Series,2022,White,Diesel,Automatic,2.1,136542,48561,6419,Low,2
X1,2023,Silver,Electric,Automatic,4.4,128457,105358,9935,High,1
X6,2024,Blue,Diesel,Manual,4.2,195931,91233,7552,High,0
i8,2022,Silver,Petrol,Manual,2.0,80223,109372,4745,Low,2
7 Series,2023,Blue,Diesel,Manual,2.0,126288,83274,618,Low,1
X5,2022,White,Diesel,Automatic,1.8,54404,58830,333,Low,2
7 Series,2023,Grey,Diesel,Automatic,4.6,55914,97519,3189,Low,1
7 Series,2024,Grey,Petrol,Automatic,2.2,143792,46203,1200,Low,0
X6,2024,Black,Electric,Manual,2.2,102279,114677,9855,High,0
M5,2022,Grey,Petrol,Automatic,4.8,109601,46523,1403,Low,2
X5,2024,Silver,Hybrid,Manual,4.8,107464,59145,8506,High,0
M5,2024,Grey,Hybrid,Automatic,2.3,13308,119773,6216,Low,0
i8,2024,White,Diesel,Automatic,2.6,195630,108017,9346,High,0
M3,2022,Red,Hybrid,Automatic,3.2,157714,31694,1208,Low,2
X6,2024,Black,Hybrid,Manual,2.2,151627,37416,9577,High,0
X6,2024,White,Hybrid,Manual,4.5,183009,33772,2848,Low,0
3 Series,2024,Silver,Electric,Automatic,2.7,184188,82693,1188,Low,0
M3,2023,Grey,Electric,Manual,4.9,14629,85710,6551,Low,1
X1,2024,White,Electric,Automatic,2.6,105739,34069,4741,Low,0
X1,2024,Blue,Petrol,Automatic,2.3,17391,36229,4342,Low,0
i3,2022,White,Electric,Manual,3.6,136390,106082,3192,Low,2
7 Series,2024,Black,Diesel,Automatic,2.4,41711,50469,8145,High,0
X1,2023,Grey,Hybrid,Manual,4.6,137146,76682,6056,Low,1
i3,2024,Silver,Diesel,Manual,2.1,55523,105241,846,Low,0
X5,2022,Silver,Hybrid,Manual,3.3,48726,68451,1031,Low,2
M5,2023,Silver,Hybrid,Automatic,4.4,23900,66374,9599,High,1
M3,2023,Red,Hybrid,Automatic,2.0,51969,56664,8635,High,1
i8,2023,Silver,Diesel,Automatic,4.0,168774,85178,9027,High,1
X5,2023,Blue,Diesel,Automatic,2.5,22965,66900,6682,Low,1
M5,2023,Grey,Petrol,Automatic,3.2,159124,114161,679,Low,1
M5,2024,Red,Diesel,Automatic,4.0,51422,57612,6685,Low,0
3 Series,2024,Black,Petrol,Manual,3.9,188145,77682,4597,Low,0
M3,2023,Black,Petrol,Automatic,4.8,120723,99644,3616,Low,1
M3,2023,Grey,Electric,Manual,2.4,120012,60179,8268,High,1
X3,2022,Blue,Petrol,Automatic,3.3,128608,35527,1972,Low,2
7 Series,2023,Grey,Electric,Manual,2.8,56682,102801,3140,Low,1
X1,2022,Red,Diesel,Manual,4.7,16283,44540,5616,Low,2
i8,2024,Grey,Petrol,Manual,3.4,142196,94927,2158,Low,0
5 Series,2022,Black,Hybrid,Automatic,3.8,23793,117838,8663,High,2
i8,2022,Blue,Petrol,Manual,3.3,93748,44610,4137,Low,2
5 Series,2023,Red,Electric,Automatic,1.6,85114,103187,9401,High,1
3 Series,2024,Red,Diesel,Manual,2.3,167251,110665,5148,Low,0
X6,2024,Silver,Hybrid,Automatic,3.3,89283,92845,2390,Low,0
i3,2023,Grey,Diesel,Automatic,2.6,168084,105457,3736,Low,1
3 Series,2024,Red,Diesel,Manual,3.4,108931,115055,6750,Low,0
